id_transaccion,id_usuario,fecha,hora,dias_antiguedad_cuenta,email_verificado,categoria,monto,es_online,tipo_tarjeta,pais_emision,pais_pago,mismo_envio_facturacion,tipo_dispositivo,sistema_operativo,dispositivo_nuevo,uso_vpn_proxy,paso_3d_secure,minutos_desde_ultima_tx,es_fraude
sdv-id-xegPuj,e9faa206-7ad7-4ad5-82dc-09c180ade83c,1970-01-01,03:17:57,98,lisajohnson@example.com,Tech,6.51,1,Visa,ESP,ESP,0,Desktop,Windows,1,0,1,2,1
sdv-id-sKaoSL,2a67f030-87b5-4b85-9673-51cb39347843,1970-01-01,10:01:41,666,diane16@example.org,Travel,393.59,1,Visa,ESP,JPN,1,Mobile,Windows,0,1,1,2689,0
sdv-id-qDjNcm,208befee-4255-4846-b067-7475629b1f6b,1970-01-01,07:53:24,1005,casey16@example.net,Retail,420.94,1,Amex,ESP,FRA,0,Desktop,macOS,1,0,1,4,1
sdv-id-xVYLiC,7ccd3dc0-740a-4bed-9323-8affe1e538a1,1970-01-01,03:28:57,510,blevinsdylan@example.org,Health,13.82,1,Mastercard,ESP,ESP,1,Tablet,Linux,0,0,0,1426,0
sdv-id-kPNSbN,470367f7-5beb-41c7-977f-199a374e6538,1970-01-01,06:29:16,1286,elizabethnorton@example.net,Travel,29.46,1,Mastercard,ESP,NLD,1,Desktop,Android,1,0,1,1864,0
sdv-id-QJBkIz,974f6030-9c07-4c09-a02c-4af1e9be5b38,1970-01-01,17:16:00,379,fcoleman@example.com,Travel,1356.65,1,Mastercard,ESP,THA,0,Tablet,Linux,0,1,1,2,1
sdv-id-VPnBtc,6d2d1441-4cc1-47af-b181-dd0c5ee0bc37,1970-01-01,10:35:26,108,harrycowan@example.com,Health,257.88,1,Visa,ESP,ESP,1,Mobile,Android,0,0,1,20,1
sdv-id-lLghwe,89fab5cc-95b0-4f8a-964f-10b584d6b400,1970-01-01,19:21:36,576,rodriguezashlee@example.org,Gaming,145.27,1,Visa,ESP,SGP,0,Desktop,iOS,1,0,1,2154,0
sdv-id-abXPCI,e958acdd-7447-4dda-8e17-50ce66fe5c34,1970-01-01,19:20:17,324,carly44@example.org,Food,682.58,1,Amex,ESP,ESP,0,Tablet,Windows,1,1,1,10,1
sdv-id-wLRfbJ,42c18a62-ef48-48d5-90fd-9d3f85d51695,1970-01-01,23:23:16,938,nelsonheather@example.org,Gaming,1173.18,1,Amex,ESP,ARG,0,Desktop,Linux,0,0,0,2180,0
sdv-id-srnvvz,d61b4a7d-4c41-4603-a90a-de9e226c8bcc,1970-01-01,12:39:47,827,prattkristen@example.net,Health,997.23,1,Amex,ESP,KOR,0,Mobile,Linux,0,1,0,218,1
sdv-id-JeXdga,692ac139-1f4a-4ca1-ab85-fd595463adc7,1970-01-01,21:05:08,1156,klineangela@example.net,Travel,221.94,1,Visa,ESP,IND,0,Desktop,Linux,1,1,1,875,1
sdv-id-oSJuZI,0528d309-6a56-487d-bb8e-37e2c32bba73,1970-01-01,16:54:30,1173,clarkelinda@example.com,Food,1762.34,1,Visa,ESP,RUS,0,Tablet,Linux,1,1,1,5,1
sdv-id-zbSTHj,6cacf6d9-c8bc-4c88-be60-0c12da8746db,1970-01-01,12:47:27,35,moralesjennifer@example.net,Travel,1027.58,1,Mastercard,ESP,ESP,1,Desktop,Android,0,1,0,3,0
sdv-id-OXaHIu,37164f31-1298-4e9c-becd-2b8c5b952506,1970-01-01,17:09:48,1209,jordanmartinez@example.net,Gaming,665.98,1,Visa,ESP,KEN,1,Tablet,Android,1,0,0,2133,0
sdv-id-GfnsbU,eeb687c3-b8a6-4bf6-b3d5-4f3e635b36bd,1970-01-01,05:34:57,1480,xjohnson@example.net,Health,460.03,1,Visa,ESP,ESP,0,Mobile,Linux,1,0,0,2064,1
sdv-id-AFZTVp,3b53f64b-7cd6-4da4-82ef-da8b38048786,1970-01-01,13:00:14,1055,kathy52@example.net,Food,1129.87,1,Mastercard,ESP,USA,0,Tablet,Windows,1,1,0,2,1
sdv-id-ZjPcvz,fa7bb223-ce57-4676-914e-cec38beafa46,1970-01-01,12:34:29,1090,zwilson@example.org,Health,1802.28,1,Amex,ESP,IND,0,Tablet,Windows,1,0,0,2,1
sdv-id-bjKvjO,0b251279-785a-45d0-9f92-a62163f4c69d,1970-01-01,12:20:58,1349,kathrynhunter@example.com,Tech,1400.07,1,Visa,ESP,ESP,0,Mobile,Windows,0,0,0,9,1
sdv-id-GOMmTy,3231dc66-4f9d-4529-9efe-70f7e0cf449e,1970-01-01,22:47:21,1353,thomasmiles@example.net,Retail,1636.25,1,Amex,ESP,ZAF,1,Mobile,Windows,1,1,0,402,1
sdv-id-WGHAJM,bc033a02-2d9e-4145-bf5a-c17aa926550e,1970-01-01,19:33:24,867,guerrerothomas@example.net,Gaming,1137.64,1,Mastercard,ESP,GBR,0,Desktop,Android,0,0,1,2,1
sdv-id-ROjGWp,4fe08871-15f5-4aa0-be42-ee14f70c276c,1970-01-01,11:50:44,475,lfoster@example.org,Food,363.51,1,Amex,ESP,CHE,1,Desktop,iOS,0,0,0,955,0
sdv-id-DlweNL,e34a90b4-1d7a-4181-9e4e-31cf179d2728,1970-01-01,05:11:55,1353,collierjennifer@example.com,Food,1024.08,1,Amex,ESP,ESP,0,Desktop,Windows,1,0,0,3,0
sdv-id-nnBSvG,b47e12ef-b6ae-4d6b-ab46-c9da6abaefa2,1970-01-01,15:09:59,1195,newmanbrenda@example.org,Tech,25.06,1,Amex,ESP,IND,1,Desktop,macOS,1,1,1,786,0
sdv-id-vpCXSI,bca6a6b0-93b0-427e-a154-7769f43dd740,1970-01-01,15:39:01,363,qchristensen@example.org,Retail,1833.57,1,Amex,ESP,USA,0,Mobile,macOS,0,1,0,374,1
sdv-id-KHHrQq,a4ba1e5c-f195-4c4c-ace9-b6cb2d12831f,1970-01-01,16:38:26,897,jamie35@example.net,Travel,916.8,1,Mastercard,ESP,CHE,0,Desktop,iOS,0,1,0,3,1
sdv-id-xhUdrk,d1ecab32-c678-42f8-80e4-712b76215b47,1970-01-01,14:51:41,521,wardphillip@example.com,Retail,166.23,1,Visa,ESP,ESP,0,Tablet,Android,0,0,0,1899,1
sdv-id-YbFthP,9f9dda0d-425b-4476-a9ca-723755d145d2,1970-01-01,07:27:58,607,janet65@example.net,Retail,605.54,1,Mastercard,ESP,ESP,1,Desktop,Windows,1,1,1,1495,1
sdv-id-xtTqGs,552d4865-d756-4d35-ad2e-ebea69b7d533,1970-01-01,03:56:42,1063,patriciaobrien@example.com,Food,169.94,1,Visa,ESP,ESP,1,Tablet,Windows,0,0,0,2221,0
sdv-id-znxCTp,07c3f5bf-deec-416f-aad4-1a734658b22e,1970-01-01,20:53:50,853,john72@example.org,Travel,1069.76,1,Mastercard,ESP,THA,0,Desktop,Android,0,1,1,4,1
sdv-id-VTGpnJ,f7df9baf-f2a8-4e6e-9c3d-a4eba012c6c2,1970-01-01,17:10:57,415,vanessa62@example.org,Health,637.03,1,Amex,ESP,CAN,1,Mobile,Windows,0,0,0,204,1
sdv-id-afbyfD,9cf148bd-48fb-40f1-814d-1f465afb7584,1970-01-01,14:49:32,430,nunezlisa@example.com,Health,1139.68,1,Amex,ESP,UKR,0,Mobile,Android,0,0,0,4,1
sdv-id-tEdaUY,4251d2f0-20a8-4260-97a1-a2f67a139e90,1970-01-01,23:25:20,793,dolsen@example.com,Food,10.91,1,Amex,ESP,ESP,1,Mobile,Linux,1,0,0,2090,0
sdv-id-StkWPq,8ab4d57e-e456-45a2-9046-4feae3125624,1970-01-01,05:10:03,662,ustevens@example.org,Travel,646.58,1,Mastercard,ESP,CHN,1,Mobile,iOS,0,0,0,1048,0
sdv-id-HYhbEx,58180fb9-653a-4312-9de8-eab0244ae9f0,1970-01-01,18:10:09,993,jeremyfrederick@example.org,Gaming,1743.17,1,Mastercard,ESP,KOR,0,Desktop,macOS,0,0,0,2,1
sdv-id-bfKWxc,98d947f3-a9a4-4e81-ad5b-1d523fd0ea2a,1970-01-01,13:32:34,126,sean35@example.org,Food,1625.95,1,Amex,ESP,ESP,1,Mobile,Windows,1,0,0,7,1
sdv-id-ZULrbD,c9ceacdb-9f24-4788-805c-c2d749fa68d6,1970-01-01,13:44:02,639,jimmy17@example.org,Travel,634.54,1,Amex,ESP,JPN,0,Tablet,Windows,1,0,1,67,1
sdv-id-sbTKPw,2c0ef6cf-727d-464a-8cc4-a7e5fd25bca9,1970-01-01,03:13:38,727,timothytaylor@example.net,Travel,810.97,1,Mastercard,ESP,BRA,0,Mobile,Android,0,1,0,1897,1
sdv-id-CFkHLE,67fd64c4-a334-458a-abd2-b5121335e5db,1970-01-01,21:04:49,1250,laurawalters@example.com,Travel,1278.05,1,Amex,ESP,CHL,1,Mobile,macOS,0,1,1,1927,1
sdv-id-HtAAVI,e37b9630-9798-44e0-9a11-0a4f673e79fe,1970-01-01,13:13:24,1336,umartin@example.com,Retail,95.22,1,Mastercard,ESP,ESP,1,Desktop,Android,0,1,0,505,0
sdv-id-yajXcd,74c9abd9-daac-4e2b-bb32-440ec2d66d46,1970-01-01,22:29:07,668,albertphelps@example.org,Gaming,1475.51,1,Amex,ESP,THA,0,Desktop,iOS,1,1,0,414,1
sdv-id-tGctpu,946e8ec2-d342-4e50-8208-62274333240a,1970-01-01,16:15:47,1054,grodriguez@example.org,Travel,92.68,1,Visa,ESP,THA,0,Desktop,Android,1,1,1,499,1
sdv-id-CcjUtq,0ceaaf73-aced-4d55-a73e-2bc578822064,1970-01-01,13:07:06,812,jessicaadams@example.com,Tech,1654.01,1,Visa,ESP,VNM,1,Desktop,Linux,0,1,0,2,1
sdv-id-mdhfle,28d42725-f611-40ec-916f-b778ba8f3e6c,1970-01-01,19:38:50,1206,kelly42@example.com,Tech,64.12,1,Mastercard,ESP,ESP,1,Mobile,iOS,0,0,0,2573,0
sdv-id-SeesyU,4ff02a31-c903-4d4c-92f1-d3d08111f0f3,1970-01-01,23:21:29,552,fyates@example.net,Gaming,1856.06,1,Mastercard,ESP,IND,0,Desktop,iOS,1,1,1,2,1
sdv-id-ItupmA,1877b282-bdab-46d8-89ce-76952b0f225c,1970-01-01,00:14:38,591,kfrancis@example.org,Travel,1181.77,1,Visa,ESP,MAR,0,Mobile,Windows,0,1,0,417,1
sdv-id-xNHhLw,499b0c67-a596-4343-846d-e41e3fd69772,1970-01-01,06:30:00,1030,ricky76@example.net,Gaming,1433.43,1,Mastercard,ESP,PRT,0,Mobile,Android,1,0,1,9,0
sdv-id-DBDHFn,5ed7d1a6-7673-4495-9ff0-864c02288f07,1970-01-01,20:59:39,668,brittany43@example.net,Travel,349.28,1,Amex,ESP,SGP,1,Desktop,iOS,1,0,0,490,1
sdv-id-xLfOmL,95a15905-591c-44b6-94aa-600af487a21f,1970-01-01,01:56:07,1246,fpotter@example.org,Gaming,1620.36,1,Visa,ESP,DEU,1,Tablet,iOS,0,0,1,1106,0
sdv-id-bacPlq,c2cb0bc7-f032-4337-a10d-27dcbf153b90,1970-01-01,20:23:23,1445,paulpierce@example.net,Tech,801.05,1,Mastercard,ESP,RUS,0,Mobile,Linux,0,1,0,54,1
sdv-id-PghvuV,af77e124-97a3-4a49-afe3-1ce46c48923d,1970-01-01,15:28:22,992,samantharodriguez@example.org,Retail,470.89,1,Mastercard,ESP,ESP,0,Mobile,Linux,0,1,0,270,1
sdv-id-MNclTY,656f1ba7-0aa1-4513-bc8b-874164b3f1a9,1970-01-01,23:40:35,664,robert71@example.com,Tech,7.49,1,Visa,ESP,MAR,1,Tablet,Windows,1,1,1,2798,0
sdv-id-EgbMsm,625e1ea8-c102-4a6e-ba9f-143b2dc3d6a2,1970-01-01,22:51:35,1442,stevenreese@example.com,Health,1707.37,1,Amex,ESP,COL,0,Desktop,Windows,0,1,0,5,1
sdv-id-ZEmkKw,a33f06f4-fe87-4e56-8c7f-7718509e1cc2,1970-01-01,04:13:57,75,zcruz@example.net,Tech,605.85,1,Amex,ESP,BRA,1,Tablet,Linux,1,0,0,9,0
sdv-id-icjzZd,007fb3cb-cf73-4afa-b2af-6a55b08e8dd4,1970-01-01,06:08:36,695,juliejackson@example.net,Gaming,112.98,1,Amex,ESP,ESP,0,Desktop,Linux,1,1,0,108,1
sdv-id-GzagNm,20e2da14-ff08-462c-bc66-d391069cd309,1970-01-01,08:00:11,291,lance93@example.net,Tech,1454.16,1,Visa,ESP,FRA,0,Desktop,macOS,1,1,1,2,1
sdv-id-CWZfPl,d58ef8b9-fd92-4259-9bc2-959d798f0d6b,1970-01-01,23:27:50,1106,lucastracey@example.org,Travel,894.74,1,Visa,ESP,ESP,1,Tablet,Windows,0,0,0,58,0
sdv-id-ruLEVK,19dad534-be2b-4dee-b848-c332ee1caec8,1970-01-01,09:24:11,792,barbarajohnson@example.org,Travel,47.07,1,Mastercard,ESP,NLD,1,Desktop,iOS,0,0,1,2703,0
sdv-id-qgfcPK,b7b8c1a5-9a45-493d-b227-890e4e76833a,1970-01-01,17:25:57,357,schneidervictor@example.com,Retail,1071.97,1,Visa,ESP,ESP,1,Tablet,Windows,0,1,1,26,1
sdv-id-KkDoUl,f3cd0681-81f7-4175-9f59-bdecf7b453f5,1970-01-01,01:54:22,1341,vasqueztyler@example.com,Tech,86.69,1,Visa,ESP,ESP,1,Mobile,Windows,0,0,0,1865,0
sdv-id-HymTVn,48c08d33-46f4-4ccb-b835-de289fd60efb,1970-01-01,00:33:58,918,timothy12@example.org,Food,1284.55,1,Visa,ESP,NLD,1,Desktop,Windows,0,1,0,21,1
sdv-id-YuNaeD,6624f8ed-ed96-4f31-8bef-2ae1f87339cc,1970-01-01,22:28:02,1398,newtonmichael@example.com,Health,29.58,1,Visa,ESP,AUT,1,Tablet,iOS,0,0,1,1095,0
sdv-id-fcUVmX,6b1205aa-9bd3-4580-ad9f-835f3fc5c786,1970-01-01,00:52:56,1357,sarahpacheco@example.com,Health,982.75,1,Visa,ESP,ESP,0,Mobile,Android,1,0,1,854,1
sdv-id-YeEvpB,fe85544c-3e85-4c67-9855-e4a0bfea3d2a,1970-01-01,06:31:04,1088,robinsoncassandra@example.org,Travel,25.25,1,Mastercard,ESP,JPN,1,Tablet,iOS,1,1,0,746,1
sdv-id-TlyKoo,07048a39-659a-49e3-8b5a-f1d272565a3e,1970-01-01,20:09:06,848,tbaker@example.com,Health,1303.43,1,Amex,ESP,UKR,0,Mobile,iOS,1,1,0,285,1
sdv-id-ByLUOR,1053adba-25db-48d1-b4d0-aaeade19893e,1970-01-01,15:09:06,867,williamscody@example.org,Health,738.68,1,Mastercard,ESP,VNM,1,Mobile,Windows,0,0,0,10,1
sdv-id-kwVKiB,0af87147-bf44-4a67-b0cf-99906841667c,1970-01-01,17:38:52,928,christopher45@example.com,Gaming,839.32,1,Amex,ESP,CHL,0,Mobile,macOS,1,1,1,2,1
sdv-id-CMoqzB,7162ef9f-2f40-4722-9c7d-a3b318f23779,1970-01-01,01:36:04,68,christophermoyer@example.org,Health,6.12,1,Amex,ESP,DEU,1,Desktop,iOS,1,0,1,76,0
sdv-id-dYYUKG,eef39b66-79c4-46f8-8216-50554b09edf3,1970-01-01,18:41:24,625,seandodson@example.org,Tech,132.79,1,Visa,ESP,ESP,1,Desktop,iOS,1,0,0,1348,0
sdv-id-hFgjwQ,19877296-b425-47ec-800a-fc1e579d16cc,1970-01-01,04:51:06,1159,katie63@example.org,Gaming,1258.08,1,Visa,ESP,SAU,0,Mobile,iOS,0,1,0,3,1
sdv-id-VvmnXH,2ac09858-228c-4659-a4d0-72f80e8db9f5,1970-01-01,13:44:03,127,donaldramos@example.org,Health,172.22,1,Amex,ESP,ESP,1,Mobile,iOS,1,0,1,2624,0
sdv-id-HJanRZ,ce5b4e8b-c34d-4cbe-8c00-04329244479f,1970-01-01,04:36:19,1222,lindacarter@example.org,Health,9.62,1,Visa,ESP,ESP,1,Mobile,Windows,0,1,0,2879,0
sdv-id-vffTKr,3f35bd0d-5e9f-40f8-8ba1-740726633334,1970-01-01,04:57:48,438,torressarah@example.com,Gaming,315.73,1,Visa,ESP,ESP,1,Mobile,Windows,0,0,0,1914,0
sdv-id-AsFKme,8da4f916-6fa8-4369-b3db-49d04e998b76,1970-01-01,10:03:22,1081,williamgreen@example.org,Tech,190.99,1,Visa,ESP,EGY,0,Desktop,Linux,0,1,0,2211,1
sdv-id-zkYkSH,738b9ebb-91e3-484c-8429-9fa1e8d333b1,1970-01-01,19:31:12,655,mweaver@example.com,Food,164.28,1,Visa,ESP,CHE,0,Desktop,Windows,1,1,1,15,0
sdv-id-fMSSlw,853ad362-e262-4152-b3c9-ee87718595d1,1970-01-01,23:05:00,1276,venglish@example.net,Tech,477.54,1,Visa,ESP,CHN,0,Mobile,Android,0,0,0,275,1
sdv-id-GUXybI,171ae5ed-4021-47c1-936c-833405a5330c,1970-01-01,08:29:24,932,michael47@example.net,Gaming,599.11,1,Visa,ESP,RUS,1,Tablet,iOS,1,1,0,2829,1
sdv-id-SHVAVg,ec4643db-3c20-47bf-9815-c81bca43f7c5,1970-01-01,16:30:07,1295,janetsmith@example.com,Travel,120.16,1,Visa,ESP,CHL,0,Tablet,Windows,0,1,0,1423,0
sdv-id-EUGCiU,86d95abd-044b-4c42-9ffb-3b71960f08b4,1970-01-01,05:11:50,1019,amanda91@example.net,Retail,585.89,1,Visa,ESP,VNM,0,Mobile,iOS,0,0,0,49,1
sdv-id-KUDfys,af003b94-596c-4252-b039-035691a4d3a5,1970-01-01,06:49:53,1285,francoaaron@example.net,Retail,880.05,1,Mastercard,ESP,MAR,0,Desktop,iOS,1,1,0,5,1
sdv-id-ditlOj,1a8cf13c-28ce-431e-9827-4fc3f1458426,1970-01-01,07:06:17,36,steven48@example.net,Health,944.89,1,Amex,ESP,CAN,1,Mobile,macOS,1,1,0,731,1
sdv-id-YzhnWr,0b10567c-c40d-4616-ae9f-477255417f43,1970-01-01,07:48:46,778,juliancordova@example.com,Health,1666.96,1,Amex,ESP,RUS,0,Desktop,iOS,1,1,1,3,1
sdv-id-eghTeL,85ce7878-a616-4c23-9039-0646f47a4d1b,1970-01-01,06:37:18,172,moorepamela@example.com,Gaming,1037.34,1,Visa,ESP,ESP,0,Tablet,iOS,0,1,1,262,0
sdv-id-qUvrkl,97affdcd-26a1-4f29-a85c-ecb9ed6d216d,1970-01-01,23:01:56,1201,mcarlson@example.org,Travel,156.76,1,Visa,ESP,ESP,1,Mobile,iOS,1,1,1,10,0
sdv-id-lInLXF,b9d955d8-5b68-44a9-a5ff-60865f62c1be,1970-01-01,02:14:06,1123,alexanderwilliams@example.net,Tech,1230.22,1,Mastercard,ESP,ESP,0,Desktop,Windows,0,0,1,3,1
sdv-id-HOdqAe,5d844714-9c12-46f0-9cd1-a96075d4a3be,1970-01-01,20:04:16,226,bridget37@example.com,Travel,74.74,1,Amex,ESP,BEL,0,Tablet,iOS,1,1,0,384,1
sdv-id-nLWQWT,7b6fb65b-8d70-400f-84a1-dd66bce88f22,1970-01-01,06:07:31,90,jeffreymiller@example.com,Travel,1414.71,1,Amex,ESP,ARE,1,Mobile,Android,1,0,0,3,1
sdv-id-ulVEXr,a386fa52-9f1e-4612-96d5-8e12aeb494ff,1970-01-01,15:41:25,968,sarahfrench@example.com,Food,1311.34,1,Visa,ESP,FRA,1,Tablet,macOS,1,1,1,822,1
sdv-id-yjaZWH,6669f679-2d78-404b-9f93-55acec8566f0,1970-01-01,19:10:23,208,heather58@example.org,Retail,1949.43,1,Mastercard,ESP,ARG,0,Tablet,Windows,0,1,0,2,1
sdv-id-LiwylX,cae322c3-6896-457b-b7e1-1681fe84f0fe,1970-01-01,21:25:14,169,staceykim@example.net,Food,137.25,1,Visa,ESP,FRA,1,Tablet,macOS,0,1,1,1862,0
sdv-id-euoAWj,22d30f66-7eea-442d-a345-f384b354f5f5,1970-01-01,00:53:39,677,richardsondavid@example.org,Health,1684.65,1,Visa,ESP,DEU,0,Desktop,Linux,1,1,0,4,1
sdv-id-DgHaQG,6dec6bbd-f697-47a1-99fe-3d53624fea4b,1970-01-01,22:49:54,896,udouglas@example.org,Retail,455.8,1,Visa,ESP,ESP,1,Mobile,Windows,0,0,1,3,0
sdv-id-XsHtEf,07c3f5bf-deec-416f-aad4-1a734658b22e,1970-01-01,12:44:45,126,lauraschwartz@example.com,Retail,392.38,1,Visa,ESP,CHE,0,Mobile,Android,0,0,0,3,1
sdv-id-POinak,8473d2d6-acaf-48fb-8cc6-c4d9ce52f6b3,1970-01-01,15:38:49,824,david53@example.com,Retail,525.18,1,Visa,ESP,CAN,1,Mobile,iOS,0,0,1,1737,0
sdv-id-zoMUsV,2329a529-52f4-4bbf-9460-004480d643f2,1970-01-01,00:18:52,524,michaelsanchez@example.org,Gaming,1884.46,1,Amex,ESP,RUS,0,Mobile,Android,0,0,1,4,1
sdv-id-tTGfzb,33611134-b012-40ab-9fa8-70407c260521,1970-01-01,00:10:05,404,scottthomas@example.net,Food,658.17,1,Mastercard,ESP,JPN,0,Desktop,Windows,1,1,0,41,0
sdv-id-LoNaJV,49fd5ee5-5192-4fa7-b87c-fb13340bffcb,1970-01-01,23:42:47,1332,podom@example.com,Tech,1054.2,1,Amex,ESP,CHL,0,Tablet,iOS,1,1,1,9,1
sdv-id-TcCoqs,669f5e4f-eddb-4d45-a702-d3cb8f021e9c,1970-01-01,10:32:08,373,harold29@example.net,Tech,24.88,1,Amex,ESP,ESP,0,Desktop,Windows,0,1,1,1416,0
sdv-id-RZTxeU,3e3869e2-0df6-4417-bd55-38c71cc464ed,1970-01-01,21:30:36,691,abigailmccormick@example.net,Health,458.73,1,Mastercard,ESP,ESP,0,Tablet,macOS,0,1,1,87,0
sdv-id-zZyKVm,9c91e8e5-4f30-4268-80ba-deb83572f0f5,1970-01-01,06:31:34,1482,mortonrobert@example.com,Tech,1856.53,1,Mastercard,ESP,IND,0,Mobile,macOS,1,1,0,189,1
sdv-id-PZluQU,466886d1-142e-48fe-8256-fea784266a05,1970-01-01,09:23:55,738,arthuraguilar@example.com,Food,638.95,1,Amex,ESP,ESP,0,Tablet,Linux,1,1,0,1064,0
